Block,Sample_no,Site,Position,Date,DBH_cm,AntRes_1min,NumSpines_distal60cm,DiamLargestSpine_mm,Leaf1_Rachis_cm,Leaf1_NumEFN,Leaf1_LengthEFN_mm,Leaf2_Rachis_cm,Leaf2_NumEFN,Leaf2_LengthEFN_mm,Leaf3_Rachis_cm,Leaf3_NumEFN,Leaf3_LengthEFN_mm,Mean_Rachis_cm,Mean_LengthEFN_mm,log_AntRes,DBH_rel_to_median
F2,9,FALCONEANA,DOWNSTREAM,1/30/13,0.45,15,,,6.2,2,4.2,3.7,1,1.9,1.4,1,1.1,3.766666667,2.4,2.708050201,Below
F2,10,FALCONEANA,DOWNSTREAM,1/30/13,3.2,21,,,5.5,1,1.5,2.9,1,1.6,2.4,2,2.8,3.6,1.966666667,3.044522438,Above
F2,11,FALCONEANA,DOWNSTREAM,1/30/13,1.5,30,,,5.2,2,2.2,3,2,1.6,2.4,2,2.3,3.533333333,2.033333333,3.401197382,Below
F2,12,FALCONEANA,DOWNSTREAM,1/30/13,5.4,0,,,5.8,2,1.9,4.1,1,1.3,1.8,1,1.6,3.9,1.6,,Above
F2,13,FALCONEANA,DOWNSTREAM,1/30/13,3.4,17,,,6.3,2,2.7,4.95,1,1.5,1.5,2,1.6,4.25,1.933333333,2.833213344,Above
F2,14,FALCONEANA,DOWNSTREAM,1/30/13,0.5,9,,,8.1,2,3.1,6.3,2,3.1,4.2,1,1.7,6.2,2.633333333,2.197224577,Below
F2,15,FALCONEANA,DOWNSTREAM,1/30/13,2.9,29,,,4.9,2,2.6,4.1,3,2.9,3.2,2,1.8,4.066666667,2.433333333,3.36729583,Above
F2,16,FALCONEANA,DOWNSTREAM,1/30/13,0.1,0,,,6.9,2,2.2,5.6,1,1.8,2.9,1,1.8,5.133333333,1.933333333,,Below
F2,17,FALCONEANA,DOWNSTREAM,1/30/13,4.1,1,,,7.1,1,3.3,3.4,2,1.4,4,1,1.9,4.833333333,2.2,0,Above
F2,18,FALCONEANA,DOWNSTREAM,1/30/13,0.25,0,,,7,1,1.8,6.9,2,3.7,6.4,2,2.5,6.766666667,2.666666667,,Below
F2,19,FALCONEANA,DOWNSTREAM,1/30/13,1.8,3,,,5.5,1,2.2,6.9,1,2.1,4.5,2,3.2,5.633333333,2.5,1.098612289,Below
F2,20,FALCONEANA,DOWNSTREAM,1/30/13,0.8,1,,,5.35,1,2,2.3,1,1.6,2.1,1,1.7,3.25,1.766666667,0,Below
F2,21,FALCONEANA,DOWNSTREAM,1/30/13,7.8,2,,,7.3,3,4.5,5.8,4,4.7,2.95,1,1.8,5.35,3.666666667,0.693147181,Above
F2,22,FALCONEANA,DOWNSTREAM,1/30/13,8.7,3,,,3.8,1,2,3.1,1,1.7,1.7,1,1.8,2.866666667,1.833333333,1.098612289,Above
F2,23,FALCONEANA,DOWNSTREAM,1/30/13,7.9,2,,,6.4,3,3.5,6.3,2,3.8,4,2,3.1,5.566666667,3.466666667,0.693147181,Above
F2,24,FALCONEANA,DOWNSTREAM,1/30/13,6.1,3,,,5.6,2,2.4,5.2,1,1.9,2.9,1,1.6,4.566666667,1.966666667,1.098612289,Above
F2,25,FALCONEANA,DOWNSTREAM,1/30/13,4.9,9,,,8.35,4,4,6.5,4,4.6,4.6,3,3.7,6.483333333,4.1,2.197224577,Above
F2,26,FALCONEANA,DOWNSTREAM,1/30/13,1.2,43,,,4.7,3,3.1,5.1,4,3.4,1.3,2,1.9,3.7,2.8,3.761200116,Below
F2,27,FALCONEANA,DOWNSTREAM,1/30/13,4.9,2,,,8.7,4,5,8.2,4,4.6,4.7,4,3.8,7.2,4.466666667,0.693147181,Above
